distancia (cm),tempo (ms),,distancia (cm),tempo (ms),,distancia (cm),tempo (ms),,distancia (cm),tempo (ms),,distancia (cm),tempo (ms),
2.34,4,2925000000,2.34,8,731250000,2.98,8,931250000,2.67,8,834375000,1.91,8,596875000
3.95,42892,42.94123163,3.31,42860,36.03741707,4.28,42912,46.48536575,4.28,42912,46.48536575,3.21,42856,34.95519759
6.76,86132,18.22416455,5.57,86020,15.05519255,8.83,86264,23.73184564,6.86,86144,18.48860072,6.43,86072,17.35869928
12.12,129672,14.41584808,9.74,129436,11.62729753,14.16,129928,16.77597392,12.47,129712,14.823001,12.21,129616,14.53544827
19.79,173756,13.10980311,17.83,173356,11.86597923,20.45,174052,13.50097932,18.16,173692,12.03888339,18.48,173620,12.26118538
28.84,218372,12.09570951,26.29,217816,11.08258383,29.69,218712,12.4135206,27.17,218200,11.41327132,27.36,218152,11.49814261
39.62,263604,11.4035606,36.34,262864,10.51847294,41.03,264024,11.77184947,37.74,263332,10.88490433,37.98,263288,10.95778626
51.26,309524,10.70089097,48.6,308632,10.2043268,53.38,310064,11.10467556,48.19,309076,10.08919128,50.22,309140,10.5098447
65.93,356296,10.38702503,63.19,355240,10.01462354,71.21,357148,11.16540643,62.33,355632,9.856562004,64.26,355820,10.15102754
82.69,404052,10.12997716,80.95,402892,9.974004524,86.86,405148,10.58333204,78.38,403140,9.645471716,81.09,403484,9.961956955
102.41,452956,9.982982921,100.59,451688,9.860698912,104.19,454152,10.10307487,97.66,451760,9.570423721,100.64,452272,9.840138715